Starting MP TCP :: Client
111 :: DSN :: abcd
112 :: DSS :: 007001C02
112 :: DSN :: efgh
113 :: DSS :: 007101C43
113 :: DSN :: ijkl
114 :: DSS :: 007201C81
114 :: DSN :: mnop
115 :: DSS :: 007301CC2
115 :: DSN :: qrst
116 :: DSS :: 007401D03
116 :: DSN :: uvwx
117 :: DSS :: 007501D41
117 :: DSN :: yzAB
118 :: DSS :: 007601D82
118 :: DSN :: CDEF
119 :: DSS :: 007701DC3
119 :: DSN :: GHIJ
120 :: DSS :: 007801E01
120 :: DSN :: KLMN
121 :: DSS :: 007901E42
121 :: DSN :: OPQR
122 :: DSS :: 007A01E83
122 :: DSN :: STUV
123 :: DSS :: 007B01EC1
123 :: DSN :: WXYZ
124 :: DSS :: 007C01F02
124 :: DSN :: 0123
125 :: DSS :: 007D01F43
125 :: DSN :: 4567
126 :: DSS :: 007E01F81
126 :: DSN :: 89ab
127 :: DSS :: 007F01FC2
127 :: DSN :: cdef
128 :: DSS :: 008002003
128 :: DSN :: ghij
129 :: DSS :: 008102041
129 :: DSN :: klmn
130 :: DSS :: 008202082
130 :: DSN :: opqr
131 :: DSS :: 0083020C3
131 :: DSN :: stuv
132 :: DSS :: 008402101
132 :: DSN :: wxyz
133 :: DSS :: 008502142
133 :: DSN :: ABCD
134 :: DSS :: 008602183
134 :: DSN :: EFGH
135 :: DSS :: 0087021C1
135 :: DSN :: IJKL
136 :: DSS :: 008802202
136 :: DSN :: MNOP
137 :: DSS :: 008902243
137 :: DSN :: QRST
138 :: DSS :: 008A02281
138 :: DSN :: UVWX
139 :: DSS :: 008B022C2
139 :: DSN :: YZ01
140 :: DSS :: 008C02303
140 :: DSN :: 2345
141 :: DSS :: 008D02341
141 :: DSN :: 6789
142 :: DSS :: 008E02382
142 :: DSN :: abcd
143 :: DSS :: 008F023C3
143 :: DSN :: efgh
144 :: DSS :: 009002401
144 :: DSN :: ijkl
145 :: DSS :: 009102442
145 :: DSN :: mnop
146 :: DSS :: 009202483
146 :: DSN :: qrst
147 :: DSS :: 0093024C1
147 :: DSN :: uvwx
148 :: DSS :: 009402502
148 :: DSN :: yzAB
149 :: DSS :: 009502543
149 :: DSN :: CDEF
150 :: DSS :: 009602581
150 :: DSN :: GHIJ
151 :: DSS :: 0097025C2
151 :: DSN :: KLMN
152 :: DSS :: 009802603
152 :: DSN :: OPQR
153 :: DSS :: 009902641
153 :: DSN :: STUV
154 :: DSS :: 009A02682
154 :: DSN :: WXYZ
155 :: DSS :: 009B026C3
155 :: DSN :: 0123
156 :: DSS :: 009C02701
156 :: DSN :: 4567
157 :: DSS :: 009D02742
157 :: DSN :: 89ab
158 :: DSS :: 009E02783
158 :: DSN :: cdef
159 :: DSS :: 009F027C1
159 :: DSN :: ghij
160 :: DSS :: 00A002802
160 :: DSN :: klmn
161 :: DSS :: 00A102843
161 :: DSN :: opqr
162 :: DSS :: 00A202881
162 :: DSN :: stuv
163 :: DSS :: 00A3028C2
163 :: DSN :: wxyz
164 :: DSS :: 00A402903
164 :: DSN :: ABCD
165 :: DSS :: 00A502941
165 :: DSN :: EFGH
166 :: DSS :: 00A602982
166 :: DSN :: IJKL
167 :: DSS :: 00A7029C3
167 :: DSN :: MNOP
168 :: DSS :: 00A802A01
168 :: DSN :: QRST
169 :: DSS :: 00A902A42
169 :: DSN :: UVWX
170 :: DSS :: 00AA02A83
170 :: DSN :: YZ01
171 :: DSS :: 00AB02AC1
171 :: DSN :: 2345
172 :: DSS :: 00AC02B02
172 :: DSN :: 6789
173 :: DSS :: 00AD02B43
173 :: DSN :: abcd
174 :: DSS :: 00AE02B81
174 :: DSN :: efgh
175 :: DSS :: 00AF02BC2
175 :: DSN :: ijkl
176 :: DSS :: 00B002C03
176 :: DSN :: mnop
177 :: DSS :: 00B102C41
177 :: DSN :: qrst
178 :: DSS :: 00B202C82
178 :: DSN :: uvwx
179 :: DSS :: 00B302CC3
179 :: DSN :: yzAB
180 :: DSS :: 00B402D01
180 :: DSN :: CDEF
181 :: DSS :: 00B502D42
181 :: DSN :: GHIJ
182 :: DSS :: 00B602D83
182 :: DSN :: KLMN
183 :: DSS :: 00B702DC1
183 :: DSN :: OPQR
184 :: DSS :: 00B802E02
184 :: DSN :: STUV
185 :: DSS :: 00B902E43
185 :: DSN :: WXYZ
186 :: DSS :: 00BA02E81
186 :: DSN :: 0123
187 :: DSS :: 00BB02EC2
187 :: DSN :: 4567
188 :: DSS :: 00BC02F03
188 :: DSN :: 89ab
189 :: DSS :: 00BD02F41
189 :: DSN :: cdef
190 :: DSS :: 00BE02F82
190 :: DSN :: ghij
191 :: DSS :: 00BF02FC3
191 :: DSN :: klmn
192 :: DSS :: 00C003001
192 :: DSN :: opqr
193 :: DSS :: 00C103042
193 :: DSN :: stuv
194 :: DSS :: 00C203083
194 :: DSN :: wxyz
195 :: DSS :: 00C3030C1
195 :: DSN :: ABCD
196 :: DSS :: 00C403102
196 :: DSN :: EFGH
197 :: DSS :: 00C503143
197 :: DSN :: IJKL
198 :: DSS :: 00C603181
198 :: DSN :: MNOP
199 :: DSS :: 00C7031C2
199 :: DSN :: QRST
200 :: DSS :: 00C803203
200 :: DSN :: UVWX
201 :: DSS :: 00C903241
201 :: DSN :: YZ01
202 :: DSS :: 00CA03282
202 :: DSN :: 2345
203 :: DSS :: 00CB032C3
203 :: DSN :: 6789
204 :: DSS :: 00CC03301
204 :: DSN :: abcd
205 :: DSS :: 00CD03342
205 :: DSN :: efgh
206 :: DSS :: 00CE03383
206 :: DSN :: ijkl
207 :: DSS :: 00CF033C1
207 :: DSN :: mnop
208 :: DSS :: 00D003402
208 :: DSN :: qrst
209 :: DSS :: 00D103443
209 :: DSN :: uvwx
210 :: DSS :: 00D203481
210 :: DSN :: yzAB
211 :: DSS :: 00D3034C2
211 :: DSN :: CDEF
212 :: DSS :: 00D403503
212 :: DSN :: GHIJ
213 :: DSS :: 00D503541
213 :: DSN :: KLMN
214 :: DSS :: 00D603582
214 :: DSN :: OPQR
215 :: DSS :: 00D7035C3
215 :: DSN :: STUV
216 :: DSS :: 00D803601
216 :: DSN :: WXYZ
217 :: DSS :: 00D903642
217 :: DSN :: 0123
218 :: DSS :: 00DA03683
218 :: DSN :: 4567
219 :: DSS :: 00DB036C1
219 :: DSN :: 89ab
220 :: DSS :: 00DC03702
220 :: DSN :: cdef
221 :: DSS :: 00DD03743
221 :: DSN :: ghij
222 :: DSS :: 00DE03781
222 :: DSN :: klmn
223 :: DSS :: 00DF037C2
223 :: DSN :: opqr
224 :: DSS :: 00E003803
224 :: DSN :: stuv
225 :: DSS :: 00E103841
225 :: DSN :: wxyz
226 :: DSS :: 00E203882
226 :: DSN :: ABCD
227 :: DSS :: 00E3038C3
227 :: DSN :: EFGH
228 :: DSS :: 00E403901
228 :: DSN :: IJKL
229 :: DSS :: 00E503942
